        日期      開盤      最高      最低      收盤     成交量     成交值   成交筆數
            2019/12/31 12029.000 12049.000 11965.000 12024.000        96852            0            0
            2020/01/01 11996.000 12024.000 11965.000 12024.000        22506            0            0
            2020/01/02 12044.000 12172.000 12023.000 12172.000       132616            0            0
            2020/01/03 12180.000 12198.000 11996.000 12043.000       209517            0            0
            2020/01/06 12017.000 12034.000 11901.000 11976.000       157295            0            0
            2020/01/07 11995.000 12009.000 11816.000 11908.000       194245            0            0
            2020/01/08 11728.000 11920.000 11697.000 11898.000       200456            0            0
            2020/01/09 11919.000 12005.000 11883.000 11981.000       142668            0            0
            2020/01/10 12005.000 12042.000 11953.000 12013.000       123530            0            0
            2020/01/13 12085.000 12174.000 12044.000 12172.000       137755            0            0
            2020/01/14 12176.000 12199.000 12148.000 12175.000       108511            0            0
            2020/01/15 12159.000 12175.000 12015.000 12036.000       109418            0            0
            2020/01/16 12040.000 12104.000 11990.000 12097.000       138675            0            0
            2020/01/17 12103.000 12118.000 12029.000 12106.000       117768            0            0
            2020/01/20 12119.000 12160.000 12079.000 12099.000        88859            0            0
            2020/01/29 12116.000 12117.000 12079.000 12099.000        11314            0            0
            2020/01/30 11770.000 11798.000 11271.000 11451.000       318665            0            0
            2020/01/31 11460.000 11567.000 11211.000 11241.000       225120            0            0
            2020/02/03 11285.000 11375.000 11152.000 11353.000       243304            0            0
            2020/02/04 11373.000 11639.000 11362.000 11622.000       186996            0            0
            2020/02/05 11603.000 11659.000 11474.000 11634.000       216936            0            0
            2020/02/06 11651.000 11744.000 11628.000 11692.000       170552            0            0
            2020/02/07 11660.000 11666.000 11485.000 11495.000       179305            0            0
            2020/02/10 11455.000 11598.000 11402.000 11595.000       183000            0            0
            2020/02/11 11625.000 11710.000 11613.000 11674.000       122781            0            0
            2020/02/12 11663.000 11842.000 11647.000 11838.000       142176            0            0
            2020/02/13 11798.000 11837.000 11708.000 11774.000       162960            0            0
            2020/02/14 11757.000 11852.000 11736.000 11762.000       139227            0            0
            2020/02/17 11710.000 11792.000 11702.000 11766.000       103182            0            0
            2020/02/18 11715.000 11719.000 11603.000 11639.000       170342            0            0
            2020/02/19 11678.000 11822.000 11637.000 11795.000       109719            0            0
            2020/02/20 11820.000 11830.000 11621.000 11665.000       182820            0            0
            2020/02/21 11665.000 11765.000 11600.000 11603.000       186831            0            0
            2020/02/24 11509.000 11587.000 11315.000 11330.000       229797            0            0
            2020/02/25 11400.000 11561.000 11340.000 11342.000       187293            0            0
            2020/02/26 11383.000 11487.000 11307.000 11407.000       282781            0            0
            2020/02/27 11395.000 11447.000 11160.000 11162.000       304423            0            0
            2020/02/28 11306.000 11345.000 11160.000 11162.000       136418            0            0
            2020/03/02 11011.000 11298.000 11005.000 11298.000       331849            0            0
            2020/03/03 11313.000 11400.000 11206.000 11255.000       290279            0            0
            2020/03/04 11348.000 11450.000 11267.000 11448.000       203201            0            0
            2020/03/05 11450.000 11501.000 11374.000 11394.000       181234            0            0
            2020/03/06 11400.000 11420.000 11120.000 11225.000       274543            0            0
            2020/03/09 10975.000 11108.000 10680.000 10734.000       371238            0            0
            2020/03/10 10830.000 11050.000 10779.000 11045.000       333795            0            0
            2020/03/11 10979.000 11029.000 10739.000 10764.000       295021            0            0
            2020/03/12 10750.000 10765.000  9780.000  9822.000       544535            0            0
            2020/03/13  9749.000 10346.000  9450.000 10185.000       561115            0            0
            2020/03/16  9919.000 10055.000  9180.000  9215.000       433861            0            0
            2020/03/17  9379.000  9677.000  9073.000  9470.000       432481            0            0
            2020/03/18  9366.000  9489.000  8550.000  8728.000       274529            0            0
            2020/03/19  8820.000  8872.000  8268.000  8507.000       461870            0            0
            2020/03/20  8562.000  9340.000  8544.000  8910.000       422389            0            0
            2020/03/23  9013.000  9052.000  8555.000  8809.000       342850            0            0
            2020/03/24  8998.000  9443.000  8986.000  9443.000       278912            0            0
            2020/03/25  9410.000  9788.000  9370.000  9672.000       369150            0            0
            2020/03/26  9679.000  9881.000  9426.000  9879.000       297954            0            0
            2020/03/27  9899.000  9910.000  9377.000  9406.000       283847            0            0
            2020/03/30  9376.000  9680.000  9266.000  9654.000       239849            0            0
            2020/03/31  9666.000  9717.000  9495.000  9575.000       216324            0            0
            2020/04/01  9588.000  9650.000  9422.000  9464.000       171887            0            0
            2020/04/03  9500.000  9530.000  9422.000  9464.000        56001            0            0
            2020/04/06  9741.000  9987.000  9582.000  9962.000       195794            0            0
            2020/04/07  9955.000 10184.000  9878.000  9994.000       222579            0            0
            2020/04/08  9950.000 10146.000  9945.000 10136.000       193984            0            0
            2020/04/09 10131.000 10197.000  9985.000 10042.000       206701            0            0
            2020/04/10 10038.000 10185.000 10030.000 10127.000        83605            0            0
            2020/04/13 10084.000 10149.000 10031.000 10120.000       137406            0            0
            2020/04/14 10160.000 10412.000 10125.000 10389.000       148320            0            0
            2020/04/15 10347.000 10463.000 10168.000 10216.000       114362            0            0
            2020/04/16 10177.000 10449.000 10161.000 10433.000       181345            0            0
            2020/04/17 10575.000 10669.000 10456.000 10525.000       205927            0            0
            2020/04/20 10515.000 10560.000 10358.000 10395.000       142509            0            0
            2020/04/21 10406.000 10467.000 10061.000 10129.000       252962            0            0
            2020/04/22 10145.000 10317.000 10065.000 10277.000       110711            0            0
            2020/04/23 10268.000 10402.000 10154.000 10288.000       222165            0            0
            2020/04/24 10231.000 10361.000 10211.000 10353.000       145343            0            0
            2020/04/27 10373.000 10628.000 10368.000 10593.000       154979            0            0
            2020/04/28 10600.000 10684.000 10480.000 10602.000       154562            0            0
            2020/04/29 10655.000 10846.000 10631.000 10844.000       157444            0            0
            2020/04/30 10813.000 10971.000 10726.000 10775.000       181936            0            0
            2020/05/01 10938.000 10946.000 10726.000 10775.000        66723            0            0
            2020/05/04 10540.000 10699.000 10477.000 10685.000       182130            0            0
            2020/05/05 10717.000 10795.000 10658.000 10675.000       151367            0            0
            2020/05/06 10658.000 10814.000 10618.000 10698.000       164434            0            0
            2020/05/07 10736.000 10877.000 10710.000 10855.000       147622            0            0
            2020/05/08 10893.000 10956.000 10850.000 10953.000       137675            0            0
            2020/05/11 10979.000 11038.000 10881.000 10928.000       136888            0            0
            2020/05/12 10902.000 10938.000 10765.000 10765.000       160050            0            0
            2020/05/13 10783.000 10960.000 10776.000 10835.000       163806            0            0
            2020/05/14 10828.000 10877.000 10644.000 10850.000       201618            0            0
            2020/05/15 10830.000 10869.000 10691.000 10736.000       189841            0            0
            2020/05/18 10768.000 10972.000 10724.000 10935.000       159752            0            0
            2020/05/19 10932.000 10964.000 10836.000 10867.000       147973            0            0
            2020/05/20 10903.000 10960.000 10827.000 10920.000        98082            0            0
            2020/05/21 10903.000 11008.000 10866.000 10900.000       163374            0            0
            2020/05/22 10928.000 10935.000 10700.000 10782.000       185282            0            0
            2020/05/25 10800.000 10880.000 10651.000 10860.000       140417            0            0
            2020/05/26 10896.000 11027.000 10891.000 10969.000       141782            0            0
            2020/05/27 10962.000 11037.000 10926.000 11025.000       145228            0            0
            2020/05/28 11066.000 11077.000 10856.000 10900.000       187319            0            0
            2020/05/29 10888.000 10967.000 10806.000 10957.000       161061            0            0
            2020/06/01 10983.000 11103.000 10971.000 11078.000       137300            0            0
            2020/06/02 11080.000 11215.000 11072.000 11213.000       118324            0            0
            2020/06/03 11250.000 11472.000 11206.000 11432.000       156566            0            0
            2020/06/04 11419.000 11425.000 11306.000 11385.000       151585            0            0
            2020/06/05 11399.000 11620.000 11377.000 11580.000       142467            0            0
            2020/06/08 11550.000 11631.000 11491.000 11626.000       141837            0            0
            2020/06/09 11596.000 11650.000 11521.000 11608.000       128484            0            0
            2020/06/10 11634.000 11746.000 11596.000 11710.000       137295            0            0
            2020/06/11 11689.000 11738.000 11276.000 11313.000       215269            0            0
            2020/06/12 11331.000 11484.000 11250.000 11426.000       206857            0            0
            2020/06/15 11356.000 11446.000 11180.000 11380.000       202136            0            0
            2020/06/16 11448.000 11574.000 11421.000 11499.000       169728            0            0
            2020/06/17 11480.000 11568.000 11360.000 11404.000       107530            0            0
            2020/06/18 11372.000 11470.000 11295.000 11426.000       156729            0            0
            2020/06/19 11424.000 11465.000 11333.000 11351.000       135813            0            0
            2020/06/22 11374.000 11498.000 11362.000 11471.000       144132            0            0
            2020/06/23 11493.000 11547.000 11346.000 11507.000       172892            0            0
            2020/06/24 11541.000 11570.000 11398.000 11437.000       141330            0            0
            2020/06/26 11520.000 11528.000 11398.000 11437.000        51425            0            0
            2020/06/29 11394.000 11458.000 11315.000 11448.000       159443            0            0
            2020/06/30 11460.000 11502.000 11412.000 11480.000       121897            0            0
            2020/07/01 11482.000 11623.000 11472.000 11581.000       147446            0            0
            2020/07/02 11585.000 11837.000 11566.000 11784.000       143711            0            0
            2020/07/03 11788.000 11895.000 11752.000 11875.000       112071            0            0
            2020/07/06 11921.000 12137.000 11905.000 12133.000       143648            0            0
            2020/07/07 12149.000 12192.000 11967.000 11993.000       178198            0            0
            2020/07/08 12041.000 12207.000 12025.000 12202.000       139751            0            0
            2020/07/09 12202.000 12222.000 12103.000 12188.000       155816            0            0
            2020/07/10 12204.000 12213.000 11987.000 12091.000       174739            0            0
            2020/07/13 12139.000 12297.000 12105.000 12148.000       143107            0            0
            2020/07/14 12147.000 12264.000 12119.000 12262.000       152279            0            0
            2020/07/15 12305.000 12323.000 12049.000 12099.000        73114            0            0
            2020/07/16 12066.000 12094.000 11931.000 12048.000       180345            0            0
            2020/07/17 12088.000 12138.000 12011.000 12049.000       137759            0            0
            2020/07/20 12073.000 12119.000 11903.000 12107.000       147952            0            0
            2020/07/21 12125.000 12369.000 12121.000 12270.000       170756            0            0
            2020/07/22 12301.000 12361.000 12256.000 12327.000       136811            0            0
            2020/07/23 12309.000 12325.000 12150.000 12212.000       170484            0            0
            2020/07/24 12232.000 12410.000 12103.000 12360.000       247309            0            0
